BOARDID,SECID,TRADEDATE,SHORTNAME,NAME,CLOSE,OPEN,HIGH,LOW,VALUE,DURATION,YIELD,DECIMALS,CAPITALIZATION,CURRENCYID,DIVISOR,TRADINGSESSION,VOLUME,TRADE_SESSION_DATE,RECALC_DATE
SNDX,IMOEX,2024-05-28,Индекс МосБиржи,Индекс МосБиржи,3302.91,3305.11,3347.85,3277.48,75451014221.56,0,0,2,5827366696547.622,RUB,1764312998.5761,3,,2024-05-28,
SNDX,IMOEX,2024-05-29,Индекс МосБиржи,Индекс МосБиржи,3318.03,3307.76,3323.08,3284.14,63583189080.35,0,0,2,5854038714952.98,RUB,1764312998.5761,3,,2024-05-29,
SNDX,IMOEX,2024-05-30,Индекс МосБиржи,Индекс МосБиржи,3282.18,3332.77,3342.59,3275.54,52811203261.99,0,0,2,5790787193836.7705,RUB,1764312998.5761,3,,2024-05-30,
SNDX,IMOEX,2024-05-31,Индекс МосБиржи,Индекс МосБиржи,3217.19,3258.52,3270.01,3211.19,74789122409.07,0,0,2,5676137159603.447,RUB,1764312998.5761,3,,2024-05-31,
SNDX,IMOEX,2024-06-03,Индекс МосБиржи,Индекс МосБиржи,3141.42,3192.3,3217.36,3087.99,134863407059.92,0,0,2,5542443994414.274,RUB,1764312998.5761,3,,2024-06-03,
SNDX,IMOEX,2024-06-04,Индекс МосБиржи,Индекс МосБиржи,3186.93,3160.01,3201.53,3138.25,76984017380.19,0,0,2,5622744409114.521,RUB,1764312998.5761,3,,2024-06-04,
SNDX,IMOEX,2024-06-05,Индекс МосБиржи,Индекс МосБиржи,3212.24,3217.63,3237.53,3194.73,75207250054.54,0,0,2,5667403800885.753,RUB,1764312998.5761,3,,2024-06-05,
SNDX,IMOEX,2024-06-06,Индекс МосБиржи,Индекс МосБиржи,3192.38,3206.74,3215.99,3178.21,46866503991.39,0,0,2,5632363486476.162,RUB,1764312998.5761,3,,2024-06-06,
SNDX,IMOEX,2024-06-07,Индекс МосБиржи,Индекс МосБиржи,3233.22,3199.75,3268.89,3193.57,91086045033.89,0,0,2,5704412983786.061,RUB,1764312998.5761,3,,2024-06-07,
SNDX,IMOEX,2024-06-10,Индекс МосБиржи,Индекс МосБиржи,3180.94,3245.4,3255.49,3180.21,69816938309.06,0,0,2,5612170930252.225,RUB,1764312998.5761,3,,2024-06-10,
SNDX,IMOEX,2024-06-11,Индекс МосБиржи,Индекс МосБиржи,3171.1,3178.71,3191.27,3148.22,71342883847.77,0,0,2,5594815463841.247,RUB,1764312998.5761,3,,2024-06-11,
SNDX,IMOEX,2024-06-13,Индекс МосБиржи,Индекс МосБиржи,3171.69,3050.03,3178.01,3032.05,99225234409.93,0,0,2,5595845621882.971,RUB,1764312998.5761,3,,2024-06-13,
SNDX,IMOEX,2024-06-14,Индекс МосБиржи,Индекс МосБиржи,3215.91,3171.78,3219.65,3160.17,61274525935.76,0,0,2,5673867279780.672,RUB,1764312998.5761,3,,2024-06-14,
SNDX,IMOEX,2024-06-17,Индекс МосБиржи,Индекс МосБиржи,3183.68,3219.29,3221.84,3183.68,53695026325.72,0,0,2,5617008162824.627,RUB,1764312998.5761,3,,2024-06-17,
SNDX,IMOEX,2024-06-18,Индекс МосБиржи,Индекс МосБиржи,3114.15,3171.38,3176.01,3109.09,64497869312.31,0,0,2,5494343121330.98,RUB,1764312998.5761,3,,2024-06-18,
SNDX,IMOEX,2024-06-19,Индекс МосБиржи,Индекс МосБиржи,3027.47,3104.22,3107.39,3015.84,96431284649.27,0,0,2,5341405221419.167,RUB,1764312998.5761,3,,2024-06-19,
SNDX,IMOEX,2024-06-20,Индекс МосБиржи,Индекс МосБиржи,3123.43,3034.39,3123.43,2996.44,178667728065.76,0,0,2,5510702582471.274,RUB,1764312998.5761,3,,2024-06-20,
SNDX,IMOEX,2024-06-21,Индекс МосБиржи,Индекс МосБиржи,3114.35,3126.25,3141.25,3096.63,57321266627.99,0,0,2,5733418711926.534,RUB,1840968793.2881,3,,2024-06-21,
SNDX,IMOEX,2024-06-24,Индекс МосБиржи,Индекс МосБиржи,3098.05,3109.22,3127.64,3092.83,53508936465.92,0,0,2,5703420940821.755,RUB,1840968793.2881,3,,2024-06-24,
